Record_ID,Date,Time,Junction_ID,Vehicle_ID,Vehicle_Type,Direction,Lane,Signal_State,Signal_Duration,Waiting_Time,Vehicle_Speed,Speed_Limit,Helmet,Seat_Belt,Stop_Line_Crossed,Lane_Compliance,Phone_Usage,U_Turn,U_Turn_Allowed,Overloading,Violation,Violation_Type,Fine_Amount,Accident,Weather,Road_Condition,Traffic_Density
R021007,2026-07-15,11:19:04,J005,UP32-4974-G00346,Taxi,North,4.0,Red,103,48.5,25.1,50,,Yes,No,Yes,No,No,No,No,No,,0,No,Rain,Average,45.0
R012350,2026-07-18,08:17:19,J005,MH14-4795-J01834,Taxi,North,3.0,Green,103,11.2,42.6,50,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,61.1
R019176,12-02-2026,14:21:01,J004,GJ01-2573-B04771,Auto,North,1.0,Red,169,73.4,23.2,40,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Poor,47.3
R007061,2026-02-10,14:16:18,J013,DL08-9037-J02218,Truck,South,1.0,Green,98,5.7,25.9,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Fog,Good,53.6
R003753,2026-06-20,02:02:33,J013,GJ01-7795-B05521,Bike,West,1.0,Green,98,3.9,55.4,40,Yes,,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Clear,Good,11.0
R023447,2026-04-03,19:00:18,J012,TN09-9388-H03394,Bike,East,2.0,Green,143,11.9,29.5,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Rain,Average,84.2
R022247,2026-02-27,07:35:18,J015,MH12-2646-F01356,Car,South,1.0,Green,172,2.5,67.7,40,,Yes,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Rain,Good,29.1
R016702,04 Feb 2026,14:01:25,J009,DL08-1852-L01501,Auto,West,1.0,Red,127,54.7,39.9,40,,,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Cloudy,Good,61.3
R000928,2026-06-22,09:23:09,J002,MH14-6261-R04117,Car,East,4.0,Red,166,74.8,36.3,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,72.5
R007671,2026-02-18,08:58:16,J003,DL08-5224-L04029,Car,West,3.0,Red,152,81.0,69.9,60,,Yes,Yes,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Average,100.0
R012767,2026-04-16,18:03:55,J014,MH14-9718-D01689,Car,North,2.0,Green,145,17.3,26.8,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Good,88.8
R013364,2026-02-16,18:29:27,J006,GJ01-1189-E01633,Car,West,1.0,Red,98,49.3,27.8,60,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,81.2
R011028,2026-06-07,14:02:52,J013,MH12-9444-R00958,Truck,West,1.0,Green,98,8.0,19.1,40,,Yes,No,Yes,Yes,No,No,No,Yes,Mobile Phone Usage,1500,No,Rain,Good,42.2
R003276,2026-05-12,14:23:35,J007,TN09-9066-J00727,Bike,South,2.0,Red,74,2.7,44.6,60,Yes,,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Cloudy,Average,33.7
R009443,2026-06-12,16:31:23,J014,MH12-3364-P02088,Truck,South,2.0,Red,145,50.3,23.1,40,,Yes,No,Yes,No,No,Yes,Yes,Yes,Overloading,2000,Yes,Fog,Good,37.5
R013465,2026-07-19,10:58:22,J007,GJ01-3461-K01552,Two Wheeler,South,2.0,Green,74,8.0,45.5,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Rain,Average,57.7
R017976,2026-03-24,18:18:02,J006,DL08-2097-H04639,Taxi,East,4.0,Red,98,50.2,88.4,60,,Yes,No,Yes,No,No,Yes,No,Yes,Over Speeding,2000,No,Rain,Average,83.9
R003531,01-05-2026,18:11:02,J003,TN09-3277-D05726,Auto,North,3.0,Green,152,14.9,21.0,60,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,70.3
R002314,2026-04-08,12:23:18,J008,MH20-2624-H03275,Car,West,5.0,Red,127,52.2,60.0,80,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,55.2
R004888,2026-07-20,20:55:04,J003,MH20-8375-D05610,Bike,East,1.0,Green,152,17.1,35.1,60,Yes,,No,Yes,No,No,No,No,No,,0,No,Rain,Average,100.0
R002756,2026-07-01,23:17:00,J002,DL08-6713-R01847,Bike,East,1.0,Red,166,57.8,30.1,60,Yes,,No,No,No,No,No,No,Yes,Wrong Lane,500,No,Fog,Good,33.5
R000566,2026-06-26,8:18:55 PM,J004,GJ01-1879-E05388,Bike,East,2.0,Green,169,12.0,27.2,40,Yes,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Poor,90.5
R023586,2026-04-15,08:47:54,J002,MH14-5287-A05024,Car,South,2.0,Red,166,101.7,30.7,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,,83.3
R007245,2026-04-15,20:16:39,J013,UP32-9124-J04448,bike,North,2.0,Green,98,11.7,31.8,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Clear,Good,81.5
R010176,2026-02-17,06:56:08,J012,UP32-5073-D05834,Truck,North,3.0,Green,143,2.3,35.3,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,29.0
R007360,2026-05-24,15:02:43,J014,MH12-4060-E03044,Car,North,1.0,Red,145,65.5,29.4,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Good,35.5
R002565,2026-07-24,10:25:50,J005,UP32-7532-P00172,Bike,East,1.0,Green,103,13.0,24.9,50,Yes,,No,Yes,No,Yes,No,No,Yes,Illegal U-Turn,500,No,Clear,Average,93.4
R022353,2026-03-25,19:42:29,J004,MH12-2072-G00647,Taxi,West,1.0,  Green ,169,13.0,31.1,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Fog,Poor,86.4
R004330,2026-02-16,21:54:39,J006,MH14-7697-B01390,Bike,West,2.0,Green,98,0.0,36.4,60,No,,No,Yes,No,No,Yes,No,Yes,No Helmet,500,No,Clear,Average,12.7
R008954,2026-07-23,17:12:05,J003,MH12-7444-H03783,Car,East,1.0,Green,152,9.4,31.6,60,,Yes,No,Yes,No,No,No,No,No,,0,No,  Cloudy ,Average,73.2
R023427,2026-06-20,08:55:02,J014,DL08-2590-H04487,Car,South,1.0,Green,145,6.2,5.2,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Fog,Good,67.4
R020820,02/01/2026,19:52:17,J002,UP32-6971-R05034,Bike,East,4.0,Green,166,14.1,56.7,60,No,,No,No,No,No,Yes,No,Yes,No Helmet,500,No,Clear,Good,82.2
R016091,26-05-2026,15:45:11,J009,MH20-6596-P04107,Bike,North,1.0,Red,127,64.5,49.7,40,Yes,,No,Yes,No,No,No,No,Yes,Over Speeding,2000,No,Clear,Good,50.5
R022048,2026-02-26,20:23:51,J004,MH12-5572-N01785,Taxi,East,2.0,Green,169,8.5,11.4,40,,Yes,No,Yes,No,No,No,No,No,,0,No,Cloudy,Poor,83.5
R004350,2026-05-20,08:34:19,J009,KA05-2908-M01839,Car,East,1.0,Red,127,60.0,22.7,40,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,82.6
R010413,07-06-2026,11:33:08,J005,TN09-9536-J05403,Car,South,2.0,Green,103,3.6,34.7,50,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Cloudy,Average,42.8
R024131,06/20/2026,07:18:06,J008,MH14-7622-A00115,Car,North,5.0,Red,127,50.0,43.3,80,,Yes,No,No,No,No,Yes,No,Yes,Wrong Lane,500,No,Cloudy,Average,2.7
R003666,2026-05-31,10:54:32,J005,DL08-3826-G05723,Taxi,West,1.0,Red,103,48.7,31.4,50,,Yes,No,Yes,No,No,Yes,No,No,,0,No,Clear,Average,49.9
R004769,2026-07-30,12:41:13,J010,KA05-8961-R01409,Taxi,South,3.0,  Red ,176,85.8,45.1,60,,Yes,No,Yes,No,No,No,No,No,,0,No,Clear,Average,64.3
R021416,2026-06-29,18:06:56,J015,TN09-9261-F05946,Bike,East,3.0,Red,172,80.7,39.2,40,Yes,,No,Yes,No,No,No,No,No,,0,No,Rain,Good,78.1
R017236,2026-02-26,15:13:27,J013,MH12-2433-C00650,Auto,East,2.0,Green,98,8.2,28.4,40,,,No,Yes,No,No,Yes,No,No,,0,No,Clear,Good,53.8
R008440,06/29/2026,22:10:30,j005,MH20-6277-H04840,Auto,West,1.0,Red,103,50.0,38.1,50,,,No,Yes,No,No,No,No,No,,0,No,Clear,Average,34.1
