Vehicle_ID,Vehicle_Type,Fuel_Type,Registration_Type
MH20-8612-L00060,Car,Electric,Commercial
GJ01-9976-Q00061,Bike,Electric,Private
KA05-5050-J00062,Bike,Petrol,Private
KA05-8206-C00063,Bike,Petrol,Private
MH14-3267-E00064,Car,Petrol,Private
MH14-7797-P00065,Auto,Petrol,Commercial
MH12-4388-P00066,Bike,Petrol,Private
MH12-7232-R00067,Taxi,Petrol,Commercial
GJ01-7865-H00068,Bike,Petrol,Private
GJ01-6507-N00069,Bike,Petrol,Private
MH12-7455-A00070,Truck,Diesel,Commercial
UP32-3977-B00071,Bike,Petrol,Private
TN09-7211-J00072,Bike,Petrol,Private
MH14-8705-A00073,Car,CNG,Private
DL08-2124-B00074,Taxi,CNG,Commercial
DL08-1333-E00075,Taxi,Petrol,Commercial
MH14-4571-Q00076,Bike,Petrol,Private
MH14-3683-K00077,Car,Petrol,Private
GJ01-7498-G00078,Car,Petrol,Private
MH14-5941-D00079,Bike,Petrol,Private
GJ01-7071-C00080,Car,Diesel,Private
UP32-2729-P00081,Bus,CNG,Commercial
UP32-3506-P00082,Bike,Petrol,Private
UP32-8616-P00083,Bike,Petrol,Private
DL08-2419-J00084,Car,CNG,Private
GJ01-6511-A00085,Bike,Petrol,Private
TN09-5232-L00086,Bike,Petrol,Private
MH12-9464-G00087,Truck,Diesel,Commercial
UP32-4937-R00088,Auto,Diesel,Commercial
MH12-2524-K00089,Bike,Petrol,Private
TN09-8753-M00090,Car,Petrol,Private
UP32-5438-K00091,Car,Petrol,Private
MH14-9779-F00092,Car,Petrol,Private
KA05-2647-G00093,Car,Petrol,Private
MH20-5494-B00094,Car,Electric,Private
MH20-9042-D00095,Auto,CNG,Commercial
UP32-8843-Q00096,Bike,Petrol,Commercial
UP32-2869-C00097,Car,Petrol,Private
MH12-3485-E00098,Bike,Petrol,Commercial
DL08-2940-P00099,Car,Diesel,Private
GJ01-8381-Q00100,Car,Petrol,Private
MH12-2625-G00101,Bike,Petrol,Private
DL08-3847-C00102,Car,Petrol,Private
UP32-5771-B00103,Auto,Petrol,Commercial
UP32-2166-H00104,Auto,Electric,Commercial
DL08-7965-D00105,Auto,Diesel,Commercial
KA05-3330-C00106,Bike,Petrol,Private
KA05-8195-D00107,Bike,Petrol,Private
KA05-9199-R00108,Bike,Petrol,Private
TN09-5102-A00109,Truck,Diesel,Commercial
MH12-5415-B00110,Taxi,CNG,Commercial
UP32-5557-F00111,Car,Electric,Private
MH14-8700-M00112,Bus,Diesel,Commercial
MH14-3634-L00113,Car,Petrol,Private
GJ01-1601-Q00114,Auto,Petrol,Commercial
MH14-7622-A00115,Car,Diesel,Private
DL08-9494-M00116,Bike,Petrol,Private
MH12-4335-J00117,Bike,Petrol,Commercial
UP32-2989-A00118,Bike,Electric,Private
MH20-6091-A00119,Car,Diesel,Private
MH14-8560-D00120,Taxi,Diesel,Commercial
KA05-9337-J00121,Car,Petrol,Private
UP32-3369-N00122,Bike,Petrol,Private
MH20-2143-J00123,Auto,CNG,Commercial
TN09-9318-J00124,Truck,CNG,Commercial
KA05-9022-E00125,Car,Petrol,Private
GJ01-8460-L00126,Car,CNG,Commercial
GJ01-4826-P00127,Car,Petrol,Private
GJ01-7325-E00128,Auto,Diesel,Commercial
TN09-2644-Q00129,Car,Petrol,Commercial
MH20-7717-E00130,Car,Petrol,Private
GJ01-2315-L00131,Car,CNG,Commercial
TN09-8994-B00132,Bike,Petrol,Private
KA05-4727-C00133,Auto,Petrol,Commercial
MH14-8269-F00134,Car,Diesel,Commercial
MH12-5806-M00135,Car,Petrol,Private
MH20-3785-F00136,Bike,Petrol,Commercial
DL08-9153-E00137,Bike,Petrol,Private
MH12-8622-K00138,Bike,Petrol,Private
TN09-5901-P00139,Bike,Petrol,Private
GJ01-8916-D00140,Car,Petrol,Private
KA05-1359-N00141,Bike,Petrol,Private
MH12-9138-K00142,Auto,CNG,Commercial
TN09-4588-G00143,Car,Diesel,Private
MH20-2591-B00144,Auto,Petrol,Commercial
TN09-3153-C00145,Bike,Electric,Private
DL08-3165-M00146,Bike,Petrol,Commercial
KA05-8894-K00147,Bus,Diesel,Commercial
MH14-8673-C00148,Car,Petrol,Commercial
GJ01-6992-C00149,Truck,Diesel,Commercial
MH14-8451-M00150,Car,Diesel,Private
TN09-2775-H00151,Bike,Petrol,Private
TN09-4626-C00152,Taxi,Diesel,Commercial
KA05-7689-D00153,Bike,Petrol,Commercial
UP32-2902-D00154,Car,Petrol,Private
TN09-9850-P00155,Bike,Petrol,Private
MH14-9017-P00156,Truck,CNG,Commercial
TN09-4559-Q00157,Car,Petrol,Private
TN09-9920-M00158,Bike,Petrol,Private
UP32-2501-G00159,Taxi,Diesel,Commercial
MH12-1828-L00160,Bike,Petrol,Private
MH14-4394-G00161,Bike,Petrol,Private
MH12-5542-E00162,Auto,Electric,Commercial
MH20-2801-A00163,Bike,Petrol,Private
TN09-1258-F00164,Auto,Petrol,Commercial
GJ01-9619-D00165,Car,CNG,Private
MH14-8405-H00166,Auto,Electric,Commercial
KA05-8504-A00167,Car,Petrol,Private
MH14-9032-Q00168,Bike,Petrol,Private
MH14-3067-J00169,Bike,Petrol,Private
GJ01-9692-K00170,Auto,Diesel,Commercial
MH14-2874-G00171,Bike,Petrol,Commercial
UP32-7532-P00172,Bike,Petrol,Private
KA05-7132-E00173,Car,Diesel,Private
MH14-2527-P00174,Car,Petrol,Private
MH12-6400-D00175,Bus,Diesel,Commercial
GJ01-1842-K00176,Truck,Diesel,Commercial
DL08-3535-R00177,Bike,Petrol,Private
TN09-2882-J00178,Bus,Diesel,Commercial
MH12-5381-A00179,Bus,Diesel,Commercial
KA05-6567-M00180,Auto,Petrol,Commercial
GJ01-2140-E00181,Truck,Diesel,Commercial
MH14-9691-G00182,Taxi,Petrol,Commercial
MH20-7062-K00183,Bike,Petrol,Private
MH14-1861-E00184,Bike,Petrol,Private
KA05-8259-P00185,Auto,Diesel,Commercial
KA05-4531-D00186,Bike,Petrol,Private
UP32-9633-K00187,Auto,Petrol,Commercial
MH12-1125-G00188,Bike,Petrol,Private
KA05-5742-L00189,Car,Petrol,Private
MH20-7229-H00190,Bike,Petrol,Private
MH14-7505-B00191,Bus,Diesel,Commercial
MH14-6129-P00192,Bike,Petrol,Private
MH14-7636-A00193,Bike,Electric,Private
UP32-6928-C00194,Taxi,Petrol,Commercial
GJ01-7560-C00195,Car,Petrol,Private
TN09-3754-C00196,Car,Diesel,Private
TN09-6752-E00197,Bike,Petrol,Private
MH20-2234-F00198,Car,Electric,Private
UP32-6295-L00199,Bike,Petrol,Private
KA05-5500-B00200,Bike,Petrol,Private
MH12-1932-M00201,Bike,Petrol,Private
MH14-9307-N00202,Truck,Diesel,Commercial
MH12-8368-G00203,Bike,Petrol,Private
MH12-8381-D00204,Car,CNG,Private
MH14-9266-F00205,Taxi,Petrol,Commercial
UP32-9586-F00206,Auto,Petrol,Commercial
GJ01-7697-L00207,Truck,Diesel,Commercial
TN09-2079-L00208,Car,Petrol,Private
MH20-6461-C00209,Car,Diesel,Private
GJ01-3112-C00210,Bike,Petrol,Private
MH20-9624-C00211,Auto,Diesel,Commercial
TN09-1298-M00212,Bike,Petrol,Commercial
UP32-4145-H00213,Bike,Electric,Private
MH14-9317-B00214,Car,Diesel,Commercial
GJ01-3527-F00215,Bike,Petrol,Private
MH20-8170-B00216,Bike,Petrol,Private
UP32-5668-Q00217,Car,Petrol,Private
UP32-4178-M00218,Taxi,Diesel,Commercial
UP32-8564-K00219,Bike,Petrol,Private
MH20-4271-E00220,Bike,Electric,Private
TN09-2680-D00221,Bike,Petrol,Private
MH20-8167-C00222,Car,Electric,Private
TN09-1436-P00223,Bike,Petrol,Private
MH14-7142-H00224,Car,Petrol,Commercial
TN09-3392-E00225,Bus,Diesel,Commercial
UP32-3273-R00226,Truck,Diesel,Commercial
MH14-1311-J00227,Car,Petrol,Private
GJ01-2821-K00228,Taxi,Petrol,Commercial
DL08-7878-Q00229,Car,Petrol,Private
MH12-9443-H00230,Bike,Petrol,Private
TN09-4941-P00231,Car,Petrol,Private
TN09-2108-A00232,Bike,Petrol,Private
TN09-5155-A00233,Bike,Petrol,Private
MH14-6447-E00234,Car,Petrol,Private
MH20-8612-R00235,Bus,Diesel,Commercial
MH14-8498-B00236,Bus,Diesel,Commercial
DL08-1686-L00237,Car,Electric,Private
UP32-5150-B00238,Taxi,CNG,Commercial
TN09-1783-L00239,Car,Petrol,Private
GJ01-8204-N00240,Bike,Petrol,Private
TN09-9507-J00241,Auto,CNG,Commercial
MH14-8055-F00242,Auto,Diesel,Commercial
MH14-6372-K00243,Car,Petrol,Private
UP32-6759-Q00244,Bike,Petrol,Commercial
GJ01-5498-B00245,Bike,Petrol,Private
MH20-1510-E00246,Bike,Petrol,Private
MH20-2101-H00247,Bike,Petrol,Private
MH12-3513-Q00248,Bike,Electric,Private
MH20-9674-M00249,Auto,Petrol,Commercial
DL08-2858-A00250,Bike,Petrol,Private
MH14-5288-J00251,Bike,Petrol,Private
UP32-4279-D00252,Bike,Petrol,Private
UP32-2438-L00253,Car,Diesel,Private
KA05-5914-F00254,Bike,Petrol,Commercial
TN09-9335-H00255,Bike,Petrol,Private
UP32-1430-M00256,Car,Diesel,Private
MH20-2412-C00257,Bus,Diesel,Commercial
UP32-9612-P00258,Taxi,CNG,Commercial
MH14-3053-L00259,Bus,Diesel,Commercial
TN09-3102-F00260,Bike,Petrol,Private
MH12-3034-E00261,Bike,Petrol,Private
DL08-6669-K00262,Taxi,CNG,Commercial
KA05-3050-K00263,Car,Diesel,Private
MH20-3804-L00264,Bike,Petrol,Private
MH12-2330-B00265,Bus,CNG,Commercial
KA05-4453-P00266,Auto,Diesel,Commercial
KA05-5949-R00267,Car,Petrol,Private
UP32-2195-B00268,Bike,Petrol,Private
TN09-3353-L00269,Bike,Electric,Private
TN09-7532-E00270,Taxi,CNG,Commercial
MH14-6228-H00271,Bike,Petrol,Private
MH14-1829-K00272,Car,Electric,Commercial
MH20-6364-L00273,Bike,Petrol,Private
UP32-9171-K00274,Taxi,Diesel,Commercial
GJ01-9281-Q00275,Car,Electric,Private
MH12-5609-R00276,Bike,Petrol,Private
KA05-9793-A00277,Auto,CNG,Commercial
KA05-6992-N00278,Bike,Petrol,Private
DL08-6939-K00279,Bike,Petrol,Private
KA05-2946-E00280,Auto,Electric,Commercial
TN09-6990-E00281,Bike,Petrol,Private
MH12-1637-E00282,Bike,Petrol,Private
MH20-9446-E00283,Bike,Petrol,Private
KA05-6511-R00284,Car,CNG,Private
TN09-6427-D00285,Bus,CNG,Commercial
MH12-8775-J00286,Bike,Electric,Private
DL08-1841-R00287,Auto,Petrol,Commercial
GJ01-3421-H00288,Bike,Petrol,Commercial
MH12-8225-L00289,Car,Petrol,Private
UP32-2020-E00290,Car,Diesel,Private
UP32-9609-N00291,Taxi,Petrol,Commercial
TN09-9950-M00292,Car,Diesel,Commercial
KA05-8932-G00293,Auto,Electric,Commercial
KA05-4684-K00294,Car,CNG,Private
UP32-6194-R00295,Auto,Petrol,Commercial
KA05-5715-D00296,Taxi,Diesel,Commercial
GJ01-6654-E00297,Bike,Petrol,Private
TN09-8247-J00298,Auto,CNG,Commercial
KA05-5450-E00299,Car,Petrol,Private
MH12-9700-H00300,Car,Diesel,Private
UP32-2647-E00301,Bike,Petrol,Private
GJ01-8793-R00302,Taxi,Diesel,Commercial
KA05-6262-K00303,Auto,Diesel,Commercial
MH14-4804-B00304,Truck,CNG,Commercial
MH20-1595-N00305,Car,CNG,Private
KA05-1613-A00306,Auto,Petrol,Commercial
TN09-5662-Q00307,Bike,Electric,Private
MH20-9261-Q00308,Bike,Petrol,Private
UP32-5215-F00309,Car,Petrol,Private
DL08-3875-N00310,Car,CNG,Private
MH14-4027-E00311,Car,Diesel,Commercial
GJ01-4858-Q00312,Car,CNG,Commercial
MH12-5285-M00313,Car,Diesel,Private
KA05-3616-N00314,Car,Diesel,Commercial
KA05-2923-K00315,Truck,Diesel,Commercial
MH20-8834-E00316,Car,Diesel,Commercial
UP32-9806-G00317,Bike,Petrol,Private
MH14-9609-Q00318,Bike,Petrol,Private
MH14-2011-G00319,Truck,Diesel,Commercial
TN09-9525-Q00320,Car,Petrol,Private
MH14-9361-Q00321,Bike,Petrol,Private
UP32-1945-Q00322,Bike,Petrol,Private
KA05-1049-G00323,Car,Diesel,Private
MH14-9866-B00324,Bike,Electric,Private
MH12-5703-P00325,Taxi,Petrol,Commercial
GJ01-7135-N00326,Car,Petrol,Commercial
MH14-9835-E00327,Bike,Petrol,Private
GJ01-9664-E00328,Car,CNG,Private
MH12-5888-Q00329,Car,Diesel,Private
DL08-5055-Q00330,Bike,Petrol,Private
MH14-1527-P00331,Taxi,Diesel,Commercial
MH12-4943-G00332,Taxi,Petrol,Commercial
UP32-1797-H00333,Bike,Petrol,Private
DL08-1924-E00334,Car,Diesel,Private
TN09-6253-H00335,Bus,Diesel,Commercial
DL08-7775-K00336,Car,Petrol,Private
MH20-7999-R00337,Bike,Petrol,Private
GJ01-9592-L00338,Bike,Petrol,Private
MH20-9813-R00339,Car,Petrol,Private
MH20-8586-B00340,Truck,Diesel,Commercial
MH20-7363-H00341,Taxi,Petrol,Commercial
MH14-8369-M00342,Car,Petrol,Private
KA05-7179-B00343,Car,CNG,Private
DL08-8854-G00344,Auto,CNG,Commercial
MH12-4470-G00345,Car,Electric,Private
UP32-4974-G00346,Taxi,Petrol,Commercial
TN09-5637-N00347,Car,Diesel,Private
TN09-9401-R00348,Car,Diesel,Private
TN09-4328-M00349,Auto,Petrol,Commercial
DL08-3390-A00350,Car,Petrol,Commercial
GJ01-5836-E00351,Bike,Petrol,Private
DL08-9180-L00352,Bike,Petrol,Private
UP32-8550-F00353,Taxi,CNG,Commercial
MH20-9954-R00354,Bike,Petrol,Commercial
MH12-9584-B00355,Taxi,CNG,Commercial
MH12-1104-P00356,Car,Petrol,Private
MH20-1149-G00357,Car,Diesel,Private
UP32-8993-A00358,Bike,Petrol,Private
KA05-9777-K00359,Car,Petrol,Private
MH20-2753-D00360,Auto,Diesel,Commercial
KA05-6807-J00361,Car,CNG,Private
UP32-4984-H00362,Taxi,Petrol,Commercial
MH14-1519-C00363,Bus,Diesel,Commercial
UP32-1919-A00364,Bike,Petrol,Private
TN09-2562-B00365,Bus,Diesel,Commercial
UP32-5441-B00366,Truck,CNG,Commercial
KA05-9897-B00367,Auto,Petrol,Commercial
MH12-4394-E00368,Truck,Diesel,Commercial
GJ01-2260-K00369,Auto,Petrol,Commercial
GJ01-9856-L00370,Car,Petrol,Private
MH14-9204-M00371,Auto,Petrol,Commercial
MH14-6580-N00372,Bike,Electric,Private
UP32-9038-H00373,Bike,Petrol,Commercial
GJ01-2404-K00374,Bike,Petrol,Private
MH20-7225-E00375,Car,CNG,Private
MH12-6050-Q00376,Car,Petrol,Private
MH20-8061-Q00377,Car,Diesel,Private
MH14-6798-C00378,Car,Diesel,Private
MH12-5781-P00379,Truck,Diesel,Commercial
DL08-9537-F00380,Car,Diesel,Private
KA05-9079-E00381,Car,Petrol,Private
UP32-2260-M00382,Bike,Petrol,Private
DL08-8501-D00383,Bike,Petrol,Private
GJ01-6399-Q00384,Bike,Petrol,Private
MH20-5922-L00385,Truck,Diesel,Commercial
UP32-6147-F00386,Auto,Electric,Commercial
KA05-9044-H00387,Taxi,Petrol,Commercial
GJ01-6980-D00388,Car,Electric,Private
MH20-1440-Q00389,Taxi,Electric,Commercial
KA05-2133-P00390,Car,Diesel,Private
KA05-3525-P00391,Car,CNG,Private
UP32-7566-P00392,Taxi,Diesel,Commercial
TN09-9796-C00393,Auto,Petrol,Commercial
TN09-3725-B00394,Car,Diesel,Private
TN09-8052-D00395,Bike,Petrol,Private
DL08-8303-M00396,Bike,Petrol,Private
MH20-6651-A00397,Bike,Petrol,Private
MH14-2901-E00398,Taxi,Petrol,Commercial
DL08-9537-R00399,Bike,Petrol,Private
UP32-6225-C00400,Auto,Petrol,Commercial
MH14-1370-L00401,Bus,Diesel,Commercial
MH20-4996-F00402,Auto,Diesel,Commercial
GJ01-8570-H00403,Car,CNG,Private
GJ01-7481-A00404,Car,CNG,Commercial
GJ01-7370-A00405,Bike,Petrol,Private
MH14-2667-F00406,Auto,Petrol,Commercial
MH14-5298-R00407,Car,Diesel,Private
GJ01-2871-M00408,Bike,Petrol,Private
KA05-2388-E00409,Car,Petrol,Private
TN09-3316-N00410,Car,Petrol,Private
MH20-8973-F00411,Bike,Petrol,Private
TN09-8389-B00412,Car,CNG,Commercial
DL08-7290-R00413,Bike,Petrol,Private
UP32-9006-F00414,Auto,Petrol,Commercial
DL08-5785-B00415,Car,Petrol,Private
UP32-9115-D00416,Car,Diesel,Private
TN09-9880-B00417,Bike,Petrol,Private
GJ01-2677-H00418,Car,Petrol,Commercial
TN09-2425-Q00419,Bike,Electric,Private
DL08-6744-P00420,Bus,Diesel,Commercial
DL08-4390-B00421,Car,Diesel,Private
MH20-6302-K00422,Bike,Petrol,Private
MH14-3221-P00423,Truck,CNG,Commercial
MH20-3174-H00424,Taxi,Petrol,Commercial
DL08-7434-R00425,Car,Petrol,Private
GJ01-8405-C00426,Bike,Petrol,Commercial
KA05-7046-Q00427,Car,Electric,Private
MH14-8511-M00428,Car,CNG,Private
GJ01-4470-R00429,Bike,Petrol,Private
MH20-8951-L00430,Car,CNG,Private
UP32-1266-D00431,Car,Electric,Private
GJ01-4314-E00432,Bike,Electric,Private
KA05-2529-M00433,Truck,Diesel,Commercial
MH20-1848-N00434,Bike,Petrol,Private
GJ01-2494-D00435,Auto,Petrol,Commercial
MH20-4705-Q00436,Bike,Petrol,Private
GJ01-3165-R00437,Bus,Diesel,Commercial
MH14-2690-L00438,Bike,Petrol,Private
MH20-3340-C00439,Bike,Petrol,Private
UP32-6753-G00440,Bike,Petrol,Private
UP32-4559-C00441,Bike,Electric,Private
GJ01-6759-P00442,Car,Petrol,Private
MH14-5065-K00443,Car,CNG,Private
KA05-4366-G00444,Bus,Diesel,Commercial
MH12-4921-R00445,Car,Petrol,Private
MH14-9655-A00446,Bike,Electric,Commercial
GJ01-6986-F00447,Car,CNG,Commercial
MH12-2106-A00448,Auto,Petrol,Commercial
MH12-7520-K00449,Car,Diesel,Private
GJ01-2350-E00450,Bike,Petrol,Private
DL08-3545-L00451,Bike,Petrol,Private
MH14-6081-P00452,Bus,Diesel,Commercial
MH12-5005-C00453,Bus,CNG,Commercial
MH12-6067-F00454,Car,Petrol,Private
MH20-9133-M00455,Auto,Diesel,Commercial
KA05-3735-M00456,Auto,Petrol,Commercial
KA05-2934-A00457,Auto,Petrol,Commercial
MH14-5308-C00458,Bike,Petrol,Private
MH20-7024-F00459,Car,Petrol,Private
MH14-4742-A00460,Bike,Petrol,Commercial
UP32-6963-N00461,Car,Electric,Private
MH12-7870-H00462,Taxi,Petrol,Commercial
TN09-5444-C00463,Bike,Petrol,Private
MH12-3938-H00464,Auto,CNG,Commercial
GJ01-2129-Q00465,Taxi,CNG,Commercial
KA05-6362-C00466,Auto,Diesel,Commercial
DL08-5777-K00467,Car,CNG,Private
UP32-4201-H00468,Bike,Petrol,Commercial
TN09-1157-L00469,Car,Petrol,Private
KA05-2703-G00470,Bus,Diesel,Commercial
UP32-1981-E00471,Car,CNG,Private
GJ01-7102-Q00472,Taxi,Electric,Commercial
MH14-9280-E00473,Car,Diesel,Private
MH12-8126-E00474,Bike,Petrol,Private
GJ01-6345-L00475,Car,Diesel,Private
MH20-2785-E00476,Taxi,Petrol,Commercial
TN09-7660-D00477,Bike,Petrol,Commercial
KA05-8591-J00478,Car,CNG,Private
KA05-1660-G00479,Bus,CNG,Commercial
MH14-5066-M00480,Car,Petrol,Private
MH20-1509-N00481,Car,CNG,Private
MH14-8570-D00482,Bike,Petrol,Private
DL08-3141-G00483,Car,CNG,Private
MH14-5240-C00484,Bike,Petrol,Private
UP32-3110-C00485,Truck,CNG,Commercial
TN09-3007-B00486,Bus,CNG,Commercial
GJ01-7471-R00487,Car,Petrol,Private
DL08-4066-J00488,Car,Petrol,Commercial
DL08-5835-R00489,Car,Petrol,Private
KA05-7275-E00490,Car,Petrol,Private
DL08-9907-A00491,Auto,Electric,Commercial
TN09-8859-R00492,Auto,Petrol,Commercial
TN09-7363-J00493,Bike,Petrol,Private
KA05-1959-R00494,Car,Diesel,Private
MH20-2640-H00495,Taxi,Diesel,Commercial
MH12-4594-N00496,Car,Petrol,Private
MH20-4875-L00497,Bus,CNG,Commercial
MH12-6761-E00498,Auto,Diesel,Commercial
UP32-9882-K00499,Car,Petrol,Private
DL08-1326-R00500,Car,Petrol,Commercial
MH20-6582-F00501,Car,Electric,Private
MH12-3420-E00502,Car,CNG,Private
MH14-7120-N00503,Truck,Diesel,Commercial
TN09-3235-F00504,Car,CNG,Private
UP32-6198-F00505,Bike,Petrol,Private
TN09-4657-F00506,Truck,Diesel,Commercial
KA05-3086-F00507,Auto,CNG,Commercial
GJ01-1530-F00508,Taxi,Diesel,Commercial
DL08-2705-R00509,Taxi,Petrol,Commercial
DL08-6682-L00510,Auto,Petrol,Commercial
MH14-6500-Q00511,Truck,Diesel,Commercial
MH14-6742-J00512,Car,CNG,Private
UP32-7875-F00513,Car,CNG,Private
GJ01-2661-R00514,Bike,Petrol,Private
DL08-3664-Q00515,Auto,Petrol,Commercial
KA05-1328-L00516,Bus,Diesel,Commercial
TN09-3787-N00517,Car,Petrol,Private
MH14-6536-R00518,Taxi,CNG,Commercial
MH20-8113-F00519,Bike,Petrol,Private
GJ01-9849-J00520,Taxi,Diesel,Commercial
MH14-1813-N00521,Car,Diesel,Private
TN09-1062-P00522,Car,Petrol,Private
UP32-4271-D00523,Bike,Petrol,Private
MH14-8758-D00524,Car,Petrol,Private
KA05-2493-N00525,Bike,Petrol,Commercial
UP32-1731-J00526,Bike,Petrol,Private
MH12-3476-D00527,Bus,Diesel,Commercial
GJ01-4727-B00528,Bike,Petrol,Private
UP32-4860-R00529,Bike,Petrol,Private
MH12-9226-E00530,Truck,Diesel,Commercial
MH20-3738-G00531,Auto,CNG,Commercial
GJ01-2283-P00532,Car,Petrol,Private
KA05-6238-C00533,Car,Petrol,Private
KA05-9514-Q00534,Bike,Electric,Private
GJ01-2843-P00535,Auto,Petrol,Commercial
MH14-2730-D00536,Bike,Petrol,Commercial
GJ01-5327-N00537,Truck,Diesel,Commercial
UP32-1613-F00538,Bike,Petrol,Private
GJ01-1635-N00539,Bike,Electric,Private
UP32-5400-M00540,Car,Petrol,Private
KA05-9054-D00541,Car,Electric,Private
UP32-6257-J00542,Car,CNG,Private
UP32-4463-P00543,Car,CNG,Private
MH12-9442-F00544,Truck,Diesel,Commercial
GJ01-3222-A00545,Auto,Petrol,Commercial
DL08-1944-H00546,Truck,Diesel,Commercial
TN09-4262-J00547,Car,Petrol,Private
MH14-1500-H00548,Bike,Petrol,Private
UP32-6730-M00549,Car,Petrol,Commercial
MH14-5670-A00550,Auto,Petrol,Commercial
DL08-4626-H00551,Car,Diesel,Private
MH12-1145-R00552,Bike,Electric,Private
MH12-4666-J00553,Bike,Petrol,Commercial
KA05-7943-N00554,Auto,CNG,Commercial
DL08-8646-K00555,Bike,Petrol,Private
MH14-1120-M00556,Bike,Petrol,Private
MH14-8892-C00557,Car,Petrol,Private
KA05-5278-K00558,Car,Petrol,Private
MH12-7620-L00559,Car,Diesel,Private
KA05-5250-P00560,Bike,Petrol,Private
DL08-6622-H00561,Bike,Petrol,Private
TN09-9311-K00562,Bike,Petrol,Private
MH20-5813-D00563,Truck,Diesel,Commercial
MH20-6499-C00564,Auto,Petrol,Commercial
KA05-7889-L00565,Car,Petrol,Private
MH14-8709-B00566,Bike,Electric,Private
MH14-8736-G00567,Taxi,Diesel,Commercial
GJ01-9680-K00568,Truck,Diesel,Commercial
MH20-3250-G00569,Truck,Diesel,Commercial
UP32-3346-L00570,Taxi,CNG,Commercial
MH14-8988-L00571,Car,Diesel,Private
MH12-8406-J00572,Bike,Petrol,Private
MH20-9021-C00573,Bike,Petrol,Private
GJ01-8821-N00574,Bike,Petrol,Private
MH12-6279-G00575,Auto,Petrol,Commercial
DL08-4707-M00576,Car,Petrol,Private
KA05-3736-C00577,Bike,Petrol,Private
TN09-8105-E00578,Car,Petrol,Commercial
DL08-3701-N00579,Bike,Petrol,Private
DL08-1359-F00580,Taxi,Petrol,Commercial
MH12-7147-J00581,Auto,CNG,Commercial
MH12-2771-A00582,Bike,Petrol,Private
MH14-9966-J00583,Bike,Petrol,Private
MH12-5933-P00584,Auto,Diesel,Commercial
KA05-3247-P00585,Auto,CNG,Commercial
MH14-5631-D00586,Car,CNG,Private
KA05-9571-G00587,Bike,Petrol,Private
UP32-4402-R00588,Car,Petrol,Private
MH14-9095-E00589,Auto,Electric,Commercial
MH14-2659-J00590,Auto,Diesel,Commercial
KA05-5327-Q00591,Bike,Petrol,Private
